# Gene Family	SRS1007613.rxn	tiny-test-data-mt.rxn
UNMAPPED	295856.0	1000000.0
UNGROUPED	580633.288	0
UNGROUPED|g__Chromobacterium.s__Chromobacterium_violaceum	54292.798	0
UNGROUPED|g__Corynebacterium.s__Corynebacterium_glutamicum	38499.824	0
UNGROUPED|g__Escherichia.s__Escherichia_coli	271378.187	0
UNGROUPED|g__Polaromonas.s__Polaromonas_naphthalenivorans	53740.804	0
UNGROUPED|g__Roseobacter.s__Roseobacter_denitrificans	31729.286	0
UNGROUPED|g__Staphylococcus.s__Staphylococcus_epidermidis	25793.626	0
UNGROUPED|unclassified	105198.76	0
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN: 1-acylglycerol-3-phosphate O-acyltransferase	50.59	0
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN: 1-acylglycerol-3-phosphate O-acyltransferase|g__Escherichia.s__Escherichia_coli	50.59	0
1.1.1.127-RXN: NO_NAME	226.386	0
1.1.1.127-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	179.899	0
1.1.1.127-RXN: NO_NAME|g__Roseobacter.s__Roseobacter_denitrificans	46.487	0
1.1.1.251-RXN: NO_NAME	109.527	0
1.1.1.251-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	43.821	0
1.1.1.251-RXN: NO_NAME|unclassified	65.706	0
1.1.1.264-RXN: NO_NAME	49.587	0
1.1.1.264-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	49.587	0
1.1.1.271-RXN: NO_NAME	115.809	0
1.1.1.271-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	97.211	0
1.1.1.271-RXN: NO_NAME|unclassified	18.598	0
1.1.1.292-RXN: NO_NAME	52.478	0
1.1.1.292-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	52.478	0
1.1.1.83-RXN: NO_NAME	81.475	0
1.1.1.83-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	48.923	0
1.1.1.83-RXN: NO_NAME|unclassified	32.552	0
1.10.2.2-RXN: NO_NAME	28.068	0
1.10.2.2-RXN: NO_NAME|g__Polaromonas.s__Polaromonas_naphthalenivorans	19.706	0
1.10.2.2-RXN: NO_NAME|unclassified	8.363	0
1.11.1.15-RXN: NO_NAME	251.836	0
1.11.1.15-RXN: NO_NAME|g__Chromobacterium.s__Chromobacterium_violaceum	32.882	0
1.11.1.15-RXN: NO_NAME|g__Corynebacterium.s__Corynebacterium_glutamicum	41.677	0
1.11.1.15-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	75.14	0
1.11.1.15-RXN: NO_NAME|g__Polaromonas.s__Polaromonas_naphthalenivorans	30.937	0
1.11.1.15-RXN: NO_NAME|unclassified	71.201	0
1.13.11.15-RXN: NO_NAME	119.766	0
1.13.11.15-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	119.766	0
1.13.11.16-RXN: NO_NAME	34.372	0
1.13.11.16-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	34.372	0
1.14.12.18-RXN: NO_NAME	24.652	0
1.14.12.18-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	10.7	0
1.14.12.18-RXN: NO_NAME|g__Polaromonas.s__Polaromonas_naphthalenivorans	13.952	0
1.14.13.59-RXN: NO_NAME	57.181	0
1.14.13.59-RXN: NO_NAME|unclassified	57.181	0
1.17.4.2-RXN: NO_NAME	172.097	0
1.17.4.2-RXN: NO_NAME|g__Chromobacterium.s__Chromobacterium_violaceum	13.148	0
1.17.4.2-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	61.789	0
1.17.4.2-RXN: NO_NAME|g__Staphylococcus.s__Staphylococcus_epidermidis	26.274	0
1.17.4.2-RXN: NO_NAME|unclassified	70.887	0
1.18.1.2-RXN: NO_NAME	41.075	0
1.18.1.2-RXN: NO_NAME|g__Corynebacterium.s__Corynebacterium_glutamicum	41.075	0
1.2.1.65-RXN: NO_NAME	10.56	0
1.2.1.65-RXN: NO_NAME|g__Polaromonas.s__Polaromonas_naphthalenivorans	10.56	0
1.2.1.67-RXN: NO_NAME	73.746	0
1.2.1.67-RXN: NO_NAME|g__Polaromonas.s__Polaromonas_naphthalenivorans	10.518	0
1.2.1.67-RXN: NO_NAME|unclassified	63.228	0
1.2.3.3-RXN: NO_NAME	29.899	0
1.2.3.3-RXN: NO_NAME|unclassified	29.899	0
1.2.4.4-RXN: NO_NAME	12.078	0
1.2.4.4-RXN: NO_NAME|g__Staphylococcus.s__Staphylococcus_epidermidis	12.078	0
1.2.7.8-RXN: NO_NAME	19.231	0
1.2.7.8-RXN: NO_NAME|unclassified	19.231	0
1.2.99.3-RXN: NO_NAME	14.387	0
1.2.99.3-RXN: NO_NAME|g__Roseobacter.s__Roseobacter_denitrificans	14.387	0
1.3.1.25-RXN: NO_NAME	16.981	0
1.3.1.25-RXN: NO_NAME|g__Corynebacterium.s__Corynebacterium_glutamicum	16.981	0
1.3.1.9-RXN: NO_NAME	152.657	0
1.3.1.9-RXN: NO_NAME|g__Chromobacterium.s__Chromobacterium_violaceum	7.82	0
1.3.1.9-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	108.24	0
1.3.1.9-RXN: NO_NAME|g__Polaromonas.s__Polaromonas_naphthalenivorans	36.596	0
1.4.1.21-RXN: NO_NAME	16.079	0
1.4.1.21-RXN: NO_NAME|g__Roseobacter.s__Roseobacter_denitrificans	16.079	0
1.5.1.20-RXN: NO_NAME	134.306	0
1.5.1.20-RXN: NO_NAME|g__Chromobacterium.s__Chromobacterium_violaceum	14.365	0
1.5.1.20-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	62.303	0
1.5.1.20-RXN: NO_NAME|g__Polaromonas.s__Polaromonas_naphthalenivorans	7.945	0
1.5.1.20-RXN: NO_NAME|unclassified	49.694	0
1.5.1.34-RXN: NO_NAME	136.372	0
1.5.1.34-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	58.935	0
1.5.1.34-RXN: NO_NAME|unclassified	77.438	0
1.5.5.1-RXN: NO_NAME	156.254	0
1.5.5.1-RXN: NO_NAME|g__Escherichia.s__Escherichia_coli	78.043	0
1.5.5.1-RXN: NO_NAME|unclassified	78.212	0
